Date,Detached
1995-01-31,9473
1995-02-28,9667
1995-03-31,13431
1995-04-30,11929
1995-05-31,13169
1995-06-30,15662
1995-07-31,13871
1995-08-31,15441
1995-09-30,14611
1995-10-31,13337
1995-11-30,13771
1995-12-31,16017
1996-01-31,9982
1996-02-29,10617
1996-03-31,14457
1996-04-30,13914
1996-05-31,17625
1996-06-30,17577
1996-07-31,19767
1996-08-31,21793
1996-09-30,18695
1996-10-31,19786
1996-11-30,21271
1996-12-31,20459
1997-01-31,14333
1997-02-28,14426
1997-03-31,16283
1997-04-30,17077
1997-05-31,20881
1997-06-30,21985
1997-07-31,23219
1997-08-31,22768
1997-09-30,19888
1997-10-31,21111
1997-11-30,17591
1997-12-31,19457
1998-01-31,12315
1998-02-28,12721
1998-03-31,15815
1998-04-30,17072
1998-05-31,18238
1998-06-30,20098
1998-07-31,22347
1998-08-31,19582
1998-09-30,18307
1998-10-31,18629
1998-11-30,17036
1998-12-31,17950
1999-01-31,11851
1999-02-28,12538
1999-03-31,17244
1999-04-30,18930
1999-05-31,19221
1999-06-30,22421
1999-07-31,26682
1999-08-31,24278
1999-09-30,23402
1999-10-31,23736
1999-11-30,22749
1999-12-31,22297
2000-01-31,13526
2000-02-29,14441
2000-03-31,19619
2000-04-30,17932
2000-05-31,19137
2000-06-30,22483
2000-07-31,19671
2000-08-31,20237
2000-09-30,18758
2000-10-31,17401
2000-11-30,17449
2000-12-31,19370
2001-01-31,12004
2001-02-28,12648
2001-03-31,17701
2001-04-30,18377
2001-05-31,20471
2001-06-30,23987
2001-07-31,23334
2001-08-31,26466
2001-09-30,20572
2001-10-31,21513
2001-11-30,21748
2001-12-31,19320
2002-01-31,13423
2002-02-28,14387
2002-03-31,20353
2002-04-30,19716
2002-05-31,26363
2002-06-30,22283
2002-07-31,26061
2002-08-31,25991
2002-09-30,20786
2002-10-31,20842
2002-11-30,21494
2002-12-31,19767
2003-01-31,14330
2003-02-28,13421
2003-03-31,14249
2003-04-30,14927
2003-05-31,16286
2003-06-30,17351
2003-07-31,19046
2003-08-31,20652
2003-09-30,19462
2003-10-31,22177
2003-11-30,20675
2003-12-31,21817
2004-01-31,14791
2004-02-29,14819
2004-03-31,17419
2004-04-30,20569
2004-05-31,19108
2004-06-30,21687
2004-07-31,23574
2004-08-31,20714
2004-09-30,17334
2004-10-31,16014
2004-11-30,13907
2004-12-31,14164
2005-01-31,8927
2005-02-28,9183
2005-03-31,11375
2005-04-30,13092
2005-05-31,13279
2005-06-30,15780
2005-07-31,17124
2005-08-31,17130
2005-09-30,17092
2005-10-31,15618
2005-11-30,16133
2005-12-31,17754
2006-01-31,12352
2006-02-28,12452
2006-03-31,16427
2006-04-30,16054
2006-05-31,17736
2006-06-30,21272
2006-07-31,20760
2006-08-31,22656
2006-09-30,20953
2006-10-31,20420
2006-11-30,20302
2006-12-31,20812
2007-01-31,14336
2007-02-28,14096
2007-03-31,17223
2007-04-30,15868
2007-05-31,18123
2007-06-30,20524
2007-07-31,20201
2007-08-31,22361
2007-09-30,16756
2007-10-31,17343
2007-11-30,16943
2007-12-31,13417
2008-01-31,9139
2008-02-29,9329
2008-03-31,9232
2008-04-30,10035
2008-05-31,10591
2008-06-30,9585
2008-07-31,9464
2008-08-31,9035
2008-09-30,7489
2008-10-31,8292
2008-11-30,6672
2008-12-31,7155
2009-01-31,4996
2009-02-28,4980
2009-03-31,6280
2009-04-30,7568
2009-05-31,8538
2009-06-30,9794
2009-07-31,12515
2009-08-31,11943
2009-09-30,11487
2009-10-31,13034
2009-11-30,11932
2009-12-31,13829
2010-01-31,6859
2010-02-28,7957
2010-03-31,9379
2010-04-30,9739
2010-05-31,9756
2010-06-30,12002
2010-07-31,13498
2010-08-31,12549
2010-09-30,11308
2010-10-31,11427
2010-11-30,10916
2010-12-31,10740
2011-01-31,6772
2011-02-28,7097
2011-03-31,8310
2011-04-30,9404
2011-05-31,8945
2011-06-30,10586
2011-07-31,12101
2011-08-31,12839
2011-09-30,12361
2011-10-31,11250
2011-11-30,11412
2011-12-31,11893
2012-01-31,8071
2012-02-29,7969
2012-03-31,10360
2012-04-30,8406
2012-05-31,10152
2012-06-30,11542
2012-07-31,12003
2012-08-31,13429
2012-09-30,10363
2012-10-31,11756
2012-11-30,12547
2012-12-31,10924
2013-01-31,8068
2013-02-28,8144
2013-03-31,10158
2013-04-30,9409
2013-05-31,12373
2013-06-30,12782
2013-07-31,14452
2013-08-31,16018
2013-09-30,13776
2013-10-31,15557
2013-11-30,16540
2013-12-31,15770
2014-01-31,12521
2014-02-28,12280
2014-03-31,12566
2014-04-30,13725
2014-05-31,14996
2014-06-30,16156
2014-07-31,17050
2014-08-31,17985
2014-09-30,15796
2014-10-31,16945
2014-11-30,14380
2014-12-31,15555
2015-01-31,10696
2015-02-28,10867
2015-03-31,12454
2015-04-30,12197
2015-05-31,14158
2015-06-30,17196
2015-07-31,18507
2015-08-31,17671
2015-09-30,16854
2015-10-31,18364
2015-11-30,16812
2015-12-31,17697
